Number	Author	Author_Wikidata_ID	Author_GND_ID	Title	First_Edition_Place	First_Edition_Publisher	Work_Wikidata_ID	Work_Goodreads_ID	Work_GND_ID	Publication_Date
1	Mann, Thomas	Q37030	118577166	Der Zauberberg	Berlin	S. Fischer	Q212898	647489	4099303-6	1924
2	Kafka, Franz	Q905	118559230	Das Schloß	München	Kurt Wolff	Q682733	17778410	4099251-2	1926
3	Traven, B.	Q55072099	118623672	Das Totenschiff	Berlin	Büchergilde Gutenberg	Q379108	2110103	4395527-7	1926
4	Mann, Klaus	Q77087	118577158	Der fromme Tanz	Hamburg	Enoch Verlag	Q282692	216979	4380077-4	1926
5	Schnitzler, Arthur	Q44331	118609807	Traumnovelle	Berlin	S. Fischer	Q266232	6569036	4390209-1	1926
6	Zweig, Arnold	Q75868	118637452	Der Streit um den Sergeanten Grischa	Potsdam	Gustav Kiepenheuer Verlag	Q1197193	2426570	4130910-8	1927
7	Jahnn, Hans Henny	Q63054	118556673	Perrudja	Berlin	Gustav Kiepenheuer Verlag	Q2071747	3449816	4327525-4	1927
8	Döblin, Alfred	Q57389	118526200	Berlin Alexanderplatz	Berlin	S. Fischer	Q694245	1473268	4099162-3	1929
9	Baum, Vicki	Q93444	118653830	Menschen im Hotel	Berlin	Ullstein	Q1920758	720103	7622574-4	1929
10	Köppen, Edlef	Q89553	119520621	Heeresbericht	Berlin	Horen Verlag	Q1593530	1827488	4575074-9	1930
11	Roth, Joseph	Q78509	118603140	Hiob	Berlin	Gustav Kiepenheuer Verlag	Q699443	18079647	4319450-3	1930
12	Musil, Robert	Q78487	118585916	Der Mann ohne Eigenschaften	Berlin	Rowohlt	Q1195668	17228383	4099323-1	{1930,1933}
13	Broch, Hermann	Q84150	118515551	Die Schlafwandler	München; Zürich	Rhein-Verlag	Q1216006	363195	4099149-0	{1931,1932}
14	Keun, Irmgard	Q71461	118722123	Das kunstseidene Mädchen	Berlin	Universitas	Q1171410	360725	4123507-1	1932
15	Glauser, Friedrich	Q117520	11853971X	Matto regiert	Zürich	Jean-Christophe-Verlag	Q3226699	837767	4321572-5	1936
16	Horváth, Ödön von	Q84455	118553739	Jugend ohne Gott	Amsterdam	Allert de Lange	Q254661	1198659	4099240-8	1937
17	Seghers, Anna	Q57393	118612743	Transit	Boston	Little, Brown & Co.	Q1767504	2283306	4288384-2	1944
18	Hohl, Ludwig	Q115866	118552864	Die Notizen	Zürich	Artemis Verlag	Q111917099	90234526	4569741-3	{1944,1954}
19	Fallada, Hans	Q76539	118531905	Jeder stirbt für sich allein	Berlin	Aufbau Verlag	Q999324	1481990	4234564-9	1947
20	Aichinger, Ilse	Q93514	118501232	Die größere Hoffnung	Amsterdam	Bermann Fischer	Q30088087	1767252	4306595-8	1948
21	Benjamin, Walter	Q61078	118509039	Berliner Kindheit um 1900	Frankfurt am Main	Suhrkamp	Q18410668	144159	4425235-3	1950
22	Tergit, Gabriele	Q1490603	11862136X	Effingers	Hamburg	Hammerich & Lesser	Q130544687	349120	1079224149	1951
23	Doderer, Heimito von	Q93797	118526162	Die Strudlhofstiege	München	Biederstein	Q1216544	1298718	4099161-1	1951
24	Dürrenmatt, Friedrich	Q23481	118527908	Der Richter und sein Henker	Einsiedeln; Zürich; Köln	Benziger	Q379015	1084139	4099173-8	1952
25	Koeppen, Wolfgang	Q64248	118564471	Das Treibhaus	Stuttgart	Scherz & Goverts	Q1170592	886190	4099279-2	1953
26	Böll, Heinrich	Q42747	118512676	Doktor Murkes gesammeltes Schweigen	Köln; Berlin	Kiepenheuer & Witsch	Q1235081	2382330	1140150847	1955
27	Walser, Martin	Q57387	118628852	Ehen in Philippsburg	Frankfurt am Main	Suhrkamp	Q1299561	1998466	4399907-4	1957
28	Schmidt, Arno	Q77325	118608703	KAFF auch Mare Crisium	Karlsruhe	Stahlberg	Q1527001	1975399	4130801-3	1960
29	Merz, Carl;Qualtinger, Helmut	Q43866;Q45233	115661018;118828983	Der Herr Karl	München	Langen Müller	Q1194235	4290497	4583169-5	1961
30	Bachmann, Ingeborg	Q78506	118505602	Das dreißigste Jahr	München	Piper	Q106204239	257881	4099124-6	1961
31	Haushofer, Marlen	Q112929	118811134	Die Wand	Gütersloh	Mohn	Q364565	573687	4231278-4	1963
32	Weiß, Ernst	Q112153	118630458	Ich – der Augenzeuge	Icking; München	Kreiẞelmeier	Q1656172	2743645	4199864-9	1963
33	Fries, Fritz Rudolf	Q105026	118880829	Der Weg nach Oobliadooh	Frankfurt am Main	Suhrkamp	Q110813733	3674574	7534658-8	1966
34	Fichte, Hubert	Q106087	118532839	Die Palette	Reinbek b. Hamburg	Rowohlt	Q107455127	2322953	4239931-2	1968
35	Becker, Jurek	Q77317	118829742	Jakob der Lügner	Berlin; Weimar	Aufbau Verlag	Q1034591	1172781	4378997-3	1969
36	Kusenberg, Kurt	Q97004	119052040	Gesammelte Erzählungen	Reinbek b. Hamburg	Rowohlt	Q130634047	68009558		1969
37	Johnson, Uwe	Q61627	11855817X	Jahrestage	Frankfurt am Main	Suhrkamp	Q1678667	362311	4114082-5	{1970,1971,1973,1983}
38	Kempowski, Walter	Q61408	118561359	Tadellöser & Wolff	München	Hanser	Q2387186	2170759	4292832-1	1971
39	Handke, Peter	Q44107	118545574	Wunschloses Unglück	Salzburg	Residenz	Q2595103	1344773	4264145-7	1972
40	Plenzdorf, Ulrich	Q62334	118595024	Die neuen Leiden des jungen W.	Rostock	Hinstorff	Q329465	1222782	4006825-0	1973
41	Reimann, Brigitte	Q95231	118744070	Franziska Linkerhand	Berlin	Verlag Neues Leben	Q1450159	293220	4518055-6	1974
42	Weiss, Peter	Q52191134	118630539	Die Ästhetik des Widerstands	Frankfurt am Main	Suhrkamp	Q448056	1220015	4099399-1	{1975,1978,1981}
43	Canetti, Elias	Q80064	118518801	Die gerettete Zunge	München; Wien	Hanser	Q66738015	806963	4397835-6	1977
44	Vesper, Bernward	Q75039	118626728	Die Reise	Frankfurt am Main	Zweitausendeins	Q1102227	4335793	4585019-7	1977
45	Wander, Maxie	Q89932	118629050	Guten Morgen, du Schöne	Berlin	Buchverlag Der Morgen	Q23853425	4475399	4506036-8	1977
46	Lenz, Hermann	Q77728	118571648	Tagebuch vom Überleben und Leben	Frankfurt am Main	Insel Verlag	Q130634066	2820074		1978
47	Améry, Jean	Q15969	118502549	Charles Bovary, Landarzt	Stuttgart	Klett-Cotta	Q130633539	896293	1175139262	1978
48	Wolf, Christa	Q57382	118634666	Kein Ort. Nirgends	Berlin; Weimar	Aufbau Verlag	Q1737982	148162	4208993-1	1979
49	Grass, Günter	Q6538	118541579	Das Treffen in Telgte	Darmstadt; Neuwied	Luchterhand	Q320933	999826	4423303-6	1979
50	Frisch, Max	Q115483	118536109	Der Mensch erscheint im Holozän	Frankfurt am Main	Suhrkamp	Q507188	1218643	4491571-8	1979
51	Schernikau, Ronald M.	Q109615	118891839	Kleinstadtnovelle	Berlin	Rotbuch Verlag	Q130633633	4278595	1137230061	1980
52	Andersch, Alfred	Q60851	118502786	Der Vater eines Mörders	Zürich	Diogenes	Q445552	1119709	4406843-8	1980
53	Hildesheimer, Wolfgang	Q51510	118551019	Marbot	Frankfurt am Main	Suhrkamp	Q16676946	1991366	4127257-2	1981
54	Strauß, Botho	Q60955	118619047	Paare, Passanten	München	Hanser	Q2045028	2333786	1205577807	1981
55	Fühmann, Franz	Q73102	118536672	Vor Feuerschlünden	Rostock	Hinstorff	Q110835258	52596284	4310109-4	1982
56	Goetz, Rainald	Q76258	119501651	Irre	Frankfurt am Main	Suhrkamp	Q110914441	269587	4471138-4	1983
57	Jelinek, Elfriede	Q47243	119001802	Die Klavierspielerin	Reinbek b. Hamburg	Rowohlt	Q3823559	2179325	4269739-6	1983
58	Bernhard, Thomas	Q44336	118509861	Holzfällen	Frankfurt am Main	Suhrkamp	Q876505	1588962	4447199-3	1984
59	Fauser, Jörg	Q90681	119101211	Rohstoff	Frankfurt am Main; Berlin; Wien	Ullstein	Q113733330	1459817	112590707X	1984
60	Braun, Volker	Q643904	118514644	Hinze-Kunze-Roman	Halle; Leipzig	Mitteldeutscher Verlag	Q106559245	6959466	4331223-8	1985
61	Steinberg, Werner	Q2562685	118818244	Die Mördergrube	Hamburg	Hoffmann und Campe	Q130634089	132161942		1986
62	Ransmayr, Christoph	Q113022	118956299	Die letzte Welt	Nördlingen	Greno	Q1218908	176444	4262394-7	1988
63	Canetti, Veza	Q86232	119074087	Die gelbe Straße	München; Wien	Hanser	Q130634109	2118595	4716446-3	1990
64	Klüger, Ruth	Q538068	119071738	weiter leben	Göttingen	Wallstein Verlag	Q1761500	337948	4423960-9	1992
65	Müller, Heiner	Q57426	118584944	Krieg ohne Schlacht	Köln	Kiepenheuer & Witsch	Q1788585	2343610	7680030-1	1992
66	Kracht, Christian	Q123242	120013428	Faserland	Köln	Kiepenheuer & Witsch	Q1397412	210466	7593795-5	1995
67	Beyer, Marcel	Q76211	11548048X	Flughunde	Frankfurt am Main	Suhrkamp	Q47003404	930091	4997548-1	1995
68	Zaimoglu, Feridun	Q67629	12053715X	Kanak Sprak	Hamburg	Rotbuch Verlag	Q105008101	3444945	7664693-2	1995
69	Sebald, W. G.	Q76952	119310007	Austerlitz	München; Wien	Hanser	Q473389	2193696	4792721-5	2001
70	Özdamar, Emine Sevgi	Q446415	119406586	Seltsame Sterne starren zur Erde	Köln	Kiepenheuer & Witsch	Q130634136	1421811	4900048-2	2003
71	Timm, Uwe	Q61629	118839276	Am Beispiel meines Bruders	Köln	Kiepenheuer & Witsch	Q451200	1119389	4751951-4	2003
72	Kluge, Alexander	Q60637	118563491	Chronik der Gefühle	Frankfurt am Main	Suhrkamp	Q111087844	59692830	4636208-3	2004
73	Mora, Terézia	Q273974	12123035X	Alle Tage	München	Luchterhand	Q109554130	498575	7853944-4	2004
74	Hein, Christoph	Q77497	118840991	Landnahme	Frankfurt am Main	Suhrkamp	Q1803647	1696657	1043353305	2004
75	Röggla, Kathrin	Q1732908	115701362	wir schlafen nicht	Frankfurt am Main	S. Fischer	Q19311809	1320990	7609059-0	2004
76	Peltzer, Ulrich	Q75649	121449890	Teil der Lösung	Zürich	Ammann	Q130544739	2170738	1026830079	2007
77	Duve, Karen	Q95207	115673776	Taxi	Frankfurt am Main	Eichborn	Q130633905	3458660	1143865901	2008
78	Müller, Herta	Q38049	119053071	Atemschaukel	München	Hanser	Q479895	6966223	1055934480	2009
79	Schalansky, Judith	Q98434	131647679	Atlas der abgelegenen Inseln	Hamburg	Mare	Q757234	13044625	1095262289	2009
80	Mayröcker, Friederike	Q93614	118732404	ich bin in der Anstalt	Berlin	Suhrkamp	Q130633875	15559074		2010
81	Lewitscharoff, Sibylle	Q125484	120360721	Blumenberg	Berlin	Suhrkamp	Q16830667	17367115	1029517061	2011
82	Grjasnowa, Olga	Q106083	1019509430	Der Russe ist einer, der Birken liebt	München	Hanser	Q18448546	18539608	1080316868	2012
83	Lüscher, Jonas	Q15445186	103127362X	Frühling der Barbaren	München	C. H. Beck	Q29784133	23858696	1101965738	2013
84	Herrndorf, Wolfgang	Q109180	124287646	Arbeit und Struktur	Berlin	Rowohlt Berlin	Q46995528	27263959	107993619X	2013
85	Edschmid, Ulrike	Q1110109	12094023X	Das Verschwinden des Philip S.	Berlin	Suhrkamp	Q130633944	23680232		2013
86	Seiler, Lutz	Q1477082	120651106	Kruso	Berlin	Suhrkamp	Q18326617	42076302	1164780387	2014
87	Petrowskaja, Katja	Q15440711	1022446959	Vielleicht Esther	Berlin	Suhrkamp	Q15963694	71036039	113080819X	2014
88	Haratischwili, Nino	Q1724351	124712193	Das achte Leben (Für Brilka)	Frankfurt am Main	Frankfurter Verlagsanstalt	Q28083618	42466516	1208478133	2014
89	Setz, Clemens J.	Q1099987	133375080	Die Stunde zwischen Frau und Gitarre	Berlin	Suhrkamp	Q107736138	45678527	1246932318	2015
90	Honigmann, Barbara	Q243099	119075857	Chronik meiner Straße	München	Hanser	Q130633769	44752633	1123046484	2015
91	Schrott, Raoul	Q94500	11936039X	Erste Erde Epos	München	Hanser	Q130633791	52931912	1122463987	2016
92	Weiss, Philipp	Q1354291	134160614	Am Weltenrand sitzen die Menschen und lachen	Berlin	Suhrkamp	Q130633815	65152461	1268457051	2018
93	Stanišić, Saša	Q77319	132082179	Herkunft	München	Luchterhand	Q89189056	68990636	1181119561	2019
94	Elmiger, Dorothee	Q120295	141869674	Aus der Zuckerfabrik	München	Hanser	Q130633756	85776981	1271120267	2020
95	Randt, Leif	Q1691560	139650482	Allegro Pastell	Köln	Kiepenheuer & Witsch	Q130633645	74084431	1240273436	2020
96	Schubert, Helga	Q109542	120918552	Vom Aufstehen	München	dtv	Q130633678	89942312	1231753447	2021
97	Strubel, Antje Rávik	Q89379	122788788	Blaue Frau	Frankfurt am Main	S. Fischer	Q130633723	92478145	1243544880	2021
98	Aydemir, Fatma	Q29097798	1124801774	Dschinns	München	Hanser	Q114720832	93602276	1254638474	2022
99	Edelbauer, Raphaela	Q54805597	1136992030	Die Inkommensurablen	Stuttgart	Klett-Cotta	Q130633691	100474868	1289283516	2023
100	Meyer, Clemens	Q104844	131369180	Die Projektoren	Frankfurt am Main	S. Fischer	Q130633700	217928842	1340497786	2024
